
front:469,612,486,2,2,3,2,511,588,614,1023,1023,690,535,1023,566,842,597,637,402
front:469,612,481,5,5,6,4,533,603,590,1023,1023,709,553,1023,610,807,590,620,418
front:469,612,485,3,3,4,1,521,572,585,1023,1023,680,512,1023,551,781,578,617,381
front:469,613,485,5,4,5,3,465,571,582,1023,1023,676,506,1023,547,781,579,606,392
front:469,611,485,5,4,5,1,463,571,581,1023,1023,675,515,1023,544,782,585,603,391
front:469,612,485,1,1,2,2,506,567,574,1023,1023,673,515,1023,546,782,586,604,390
front:469,612,485,1,0,0,2,557,570,578,1023,1023,671,514,1023,543,797,579,605,388
front:469,612,485,4,3,4,5,547,570,578,1023,1023,673,518,1023,543,790,581,602,391
front:469,611,485,5,5,5,2,505,571,579,1023,1023,673,516,1023,542,800,586,605,388
front:469,612,485,2,1,1,3,590,571,578,1023,1023,674,516,1023,542,781,583,601,385
front:469,612,485,1,0,0,0,523,562,575,1023,1023,670,517,1023,539,773,579,597,384
front:469,611,486,3,2,3,3,606,566,572,1023,1023,671,520,1023,541,777,587,600,386
front:469,612,485,5,4,6,2,475,569,578,1023,1023,676,519,1023,540,775,581,597,384
front:468,612,485,3,2,2,0,480,570,575,1023,1023,674,520,1023,539,780,587,604,385
front:469,612,485,1,0,1,2,557,571,578,1023,1023,676,521,1023,543,780,586,609,386
front:481,616,487,6,6,10,21,755,762,565,1023,1023,649,538,1023,566,789,513,681,544
front:481,616,486,1,0,0,1,529,746,551,1023,1023,639,523,1023,560,782,497,663,538
front:481,616,486,4,3,4,0,494,747,548,1023,1023,637,521,1023,558,779,495,667,530
front:481,616,487,5,4,6,4,557,749,549,1023,1023,634,518,1023,556,777,493,667,528
front:481,616,486,1,0,0,0,432,750,551,1023,1023,637,518,1023,558,781,493,682,538
front:481,616,486,1,2,3,6,623,751,550,1023,1023,636,517,1023,556,782,493,679,537
front:482,616,487,5,5,5,1,445,754,549,1023,1023,630,515,1023,555,780,492,677,534
front:481,616,487,4,5,5,2,487,755,547,1023,1023,637,519,1023,556,771,491,674,530
front:481,617,487,2,1,1,3,599,758,547,1023,1023,637,518,1023,555,778,503,671,528
front:481,617,486,1,0,1,2,580,760,548,1023,1023,637,518,1023,555,778,502,670,532
front:481,617,485,5,5,7,6,610,765,560,1023,1023,645,529,1023,560,788,556,699,598
